hidden_nodes,hidden_layers,parameter_count,best_epoch,best_test_loss_scaled,train_mse,train_rmse,train_mae,train_r2,test_mse,test_rmse,test_mae,test_r2,model_filename,model_path
8,3,169,1636,0.004926332738250494,0.04669037461280823,0.2160795562120772,0.17420998215675354,0.9962670803070068,0.061617303639650345,0.24822832964762573,0.1873493194580078,0.9963526129722595,fnn_model_nodes_8.pt,c:\Users\HP\Documents\Github\Basic_example\results\node_sweep\models\fnn_model_nodes_8.pt
7,3,134,226,1.350637674331665,12.59524917602539,3.5489786102518837,3.046070098876953,-0.006996035575866699,16.893428802490234,4.110161651625181,3.3592896461486816,0.0,fnn_model_nodes_7.pt,c:\Users\HP\Documents\Github\Basic_example\results\node_sweep\models\fnn_model_nodes_7.pt
6,3,103,2797,0.02693275734782219,0.4430764317512512,0.6656398664076929,0.5477586388587952,0.9645758271217346,0.3368680775165558,0.5804033748321556,0.4697858691215515,0.9800592064857483,fnn_model_nodes_6.pt,c:\Users\HP\Documents\Github\Basic_example\results\node_sweep\models\fnn_model_nodes_6.pt
5,3,76,2800,0.007752270437777042,0.09295891225337982,0.3048916401828358,0.23996348679065704,0.9925678968429565,0.09696342051029205,0.3113894996789263,0.24274079501628876,0.994260311126709,fnn_model_nodes_5.pt,c:\Users\HP\Documents\Github\Basic_example\results\node_sweep\models\fnn_model_nodes_5.pt
4,3,53,2077,0.2880886197090149,2.917212724685669,1.7079849895961232,1.2834126949310303,0.7667675018310547,3.603339433670044,1.8982464101559744,1.468971848487854,0.7867017388343811,fnn_model_nodes_4.pt,c:\Users\HP\Documents\Github\Basic_example\results\node_sweep\models\fnn_model_nodes_4.pt
3,3,34,2800,0.06897789239883423,0.695258378982544,0.8338215510422743,0.6572253108024597,0.9444137811660767,0.8627578616142273,0.9288475987018685,0.7308981418609619,0.9489293694496155,fnn_model_nodes_3.pt,c:\Users\HP\Documents\Github\Basic_example\results\node_sweep\models\fnn_model_nodes_3.pt
2,3,19,2800,0.28585898876190186,2.8979625701904297,1.7023403214958017,1.2782949209213257,0.7683065533638,3.575451374053955,1.8908863990345786,1.4642112255096436,0.7883525490760803,fnn_model_nodes_2.pt,c:\Users\HP\Documents\Github\Basic_example\results\node_sweep\models\fnn_model_nodes_2.pt
1,3,8,2800,0.5177328586578369,4.124148368835449,2.0307999332370112,1.4537162780761719,0.6702724695205688,6.47567081451416,2.5447339378634775,1.9282375574111938,0.6166751980781555,fnn_model_nodes_1.pt,c:\Users\HP\Documents\Github\Basic_example\results\node_sweep\models\fnn_model_nodes_1.pt
