hidden_nodes,parameter_count,runs,test_rmse_mean,test_rmse_median,test_rmse_std,test_rmse_min,test_rmse_max
8,169,6,0.5817623979193115,0.564187982032794,0.21832064991746922,0.3472498865498137,0.8188340078455019
7,134,6,1.2857680674743066,0.7398821335576664,1.3898186715606866,0.5635893128772738,4.110161651625181
6,103,6,1.3317238480803935,0.7458684181331973,1.3725271920019917,0.6775471321476532,4.1207160668165805
5,76,6,1.123000450591168,0.9816398135099198,0.403747735633424,0.7903629200314025,1.8844546046610404
4,53,6,2.503292031635569,1.9906645967106666,1.309847819144203,0.9202582843659451,4.110306666829829
3,34,6,2.6527684138531713,2.21172249319944,1.1805590749915882,1.62181792112839,4.123439146723099
2,19,6,2.7131119534121217,2.1507782904437125,1.0965148561433933,1.8201352798572972,4.124730419250953
1,8,6,4.062037449373688,4.1284355489135685,0.23822975631622828,3.5841059775862285,4.214942626924666
